Perfil*,Subperfil,Nome*,Nº da OAB,Seccional (UF OAB),E-mail*,MatrÍcula (IES),Telefone,CPF,Senha,Período Curricular,Observações
Aluno,,João Silva,,,joao.silva@email.com,,(79) 99999-9999,123.456.789-00,senha123,,
Professor,,Maria Oliveira,,,maria.oliveira@email.com,,(79) 98888-8888,987.654.321-00,senha456,,
Aluno,,José Santos,,,jose.santos@email.com,,(79) 97777-7777,112.233.445-00,senha789,,
Aluno,,Ana Costa,,,ana.costa@email.com,,(79) 96666-6666,556.677.889-00,senha321,,
Professor,,Roberto Lima,,,roberto.lima@email.com,,(79) 95555-5555,223.344.556-00,senha654,,
Aluno,,Beatriz Souza,,,beatriz.souza@email.com,,(79) 94444-4444,778.899.112-00,senha987,,
Professor,,Ricardo Fernandes,,,ricardo.fernandes@email.com,,(79) 93333-3333,334.455.667-00,senha654,,
Aluno,,Carlos Martins,,,carlos.martins@email.com,,(79) 92222-2222,667.788.223-00,senha159,,
Professor,,Fernanda Almeida,,,fernanda.almeida@email.com,,(79) 91111-1111,445.566.778-00,senha987,,
Aluno,,Luana Pereira,,,luana.pereira@email.com,,(79) 94444-4444,334.455.667-00,senha123,,
Professor,,Paulo Silva,,,paulo.silva@email.com,,(79) 95555-5555,889.900.112-00,senha456,,
Aluno,,Marcos Rocha,,,marcos.rocha@email.com,,(79) 92222-2222,223.344.556-00,senha789,,
Professor,,Cláudia Gomes,,,claudia.gomes@email.com,,(79) 96666-6666,667.788.223-00,senha321,,
Aluno,,Larissa Lima,,,larissa.lima@email.com,,(79) 97777-7777,556.677.889-00,senha654,,
Professor,,Gustavo Costa,,,gustavo.costa@email.com,,(79) 99999-9999,778.899.112-00,senha987,,
Aluno,,Daniel Souza,,,daniel.souza@email.com,,(79) 98888-8888,123.456.789-00,senha159,,
Professor,,Simone Pereira,,,simone.pereira@email.com,,(79) 91111-1111,334.455.667-00,senha456,,
Aluno,,Tamires Rocha,,,tamires.rocha@email.com,,(79) 94444-4444,889.900.112-00,senha654,,
Professor,,Mariana Santos,,,mariana.santos@email.com,,(79) 96666-6666,667.788.223-00,senha789,,
Aluno,,Igor Almeida,,,igor.almeida@email.com,,(79) 97777-7777,223.344.556-00,senha321,,
Professor,,Eduardo Lima,,,eduardo.lima@email.com,,(79) 93333-3333,556.677.889-00,senha987,,
Aluno,,Sofia Oliveira,,,sofia.oliveira@email.com,,(79) 95555-5555,778.899.112-00,senha123,,
Professor,,Fabio Souza,,,fabio.souza@email.com,,(79) 92222-2222,334.455.667-00,senha654,,
Aluno,,Roberta Costa,,,roberta.costa@email.com,,(79) 96666-6666,889.900.112-00,senha789,,
Professor,,Luiz Gustavo,,,luiz.gustavo@email.com,,(79) 93333-3333,223.344.556-00,senha321,,
Aluno,,Mariana Lima,,,mariana.lima@email.com,,(79) 92222-2222,556.677.889-00,senha654,,
Professor,,Valéria Pereira,,,valeria.pereira@email.com,,(79) 97777-7777,778.899.112-00,senha987,,
